Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","~","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",81.500000,-79.250000,0.000000,bottom
"C1","100nF","C_0805_2012Metric",45.300000,-65.600000,180.000000,bottom
"C2","4.7uF","C_0805_2012Metric",47.400000,-71.300000,90.000000,bottom
"C3","100nF","C_0805_2012Metric",49.800000,-71.300000,90.000000,bottom
"C4","1 uF","C_0805_2012Metric",60.400000,-70.400000,-90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",88.600000,-55.600000,90.000000,bottom
"C6","10uF","C_0805_2012Metric",88.600000,-59.200000,-90.000000,bottom
"C7","0.1uF","C_0805_2012Metric",71.200000,-83.000000,0.000000,bottom
"C8","0.1uF","C_0805_2012Metric",79.600000,-83.400000,180.000000,bottom
"C9","10 uF","C_0805_2012Metric",46.600000,-58.400000,180.000000,bottom
"C10","0.1 uF","C_0805_2012Metric",50.600000,-58.400000,0.000000,bottom
"C11","0.1 uF","C_0805_2012Metric",56.000000,-55.400000,0.000000,bottom
"C12","10 uF","C_0805_2012Metric",59.800000,-55.400000,180.000000,bottom
"D1","LED ROJO","LED_0805_2012Metric",59.800000,-53.000000,180.000000,bottom
"J1","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",70.090000,-99.250000,-90.000000,bottom
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",39.325000,-47.700000,-90.000000,bottom
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4110",38.750000,-59.000000,90.000000,bottom
"Q1","s8050","SOT-23",60.000000,-60.150000,0.000000,bottom
"Q2","s8050","SOT-23",60.000000,-64.400000,180.000000,bottom
"R1","1M","R_0805_2012Metric",44.900000,-62.500000,90.000000,bottom
"R2","150","R_0805_2012Metric",56.337500,-60.150000,90.000000,bottom
"R3","150","R_0805_2012Metric",56.337500,-64.350000,90.000000,bottom
"R4","10K","R_0805_2012Metric",57.800000,-70.400000,-90.000000,bottom
"R5","10k","R_0805_2012Metric",83.200000,-83.400000,0.000000,bottom
"R6","330R","R_0805_2012Metric",56.000000,-53.000000,0.000000,bottom
"RESET1","~","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",71.250000,-79.250000,0.000000,bottom
"U1","CP2102N-A02-GQFN28","QFN50P500X500X80-29N",50.500000,-63.400000,0.000000,bottom
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",77.000000,-63.760000,180.000000,bottom
"U3","3.3v 1A","SOT-223-3_TabPin2",49.000000,-53.250000,180.000000,bottom
