Ref,Val,Package,PosX,PosY,Rot,Side
"D2","~","LED-WS2812B-2020",40.000000,-51.500000,0.000000,top
"D3","~","LED-WS2812B-2020",43.000000,-51.500000,0.000000,top
"D4","~","LED-WS2812B-2020",46.000000,-51.500000,0.000000,top
"D5","~","LED-WS2812B-2020",49.000000,-51.500000,0.000000,top
"D6","~","LED-WS2812B-2020",52.000000,-51.500000,0.000000,top
"D7","~","LED-WS2812B-2020",55.000000,-51.500000,0.000000,top
"D8","~","LED-WS2812B-2020",58.000000,-51.500000,0.000000,top
"D9","~","LED-WS2812B-2020",61.000000,-51.500000,0.000000,top
"D10","~","LED-WS2812B-2020",64.000000,-51.500000,0.000000,top
"D11","~","LED-WS2812B-2020",67.000000,-51.500000,0.000000,top
"D12","~","LED-WS2812B-2020",70.000000,-51.500000,0.000000,top
"D13","~","LED-WS2812B-2020",73.000000,-51.500000,0.000000,top
"D14","~","LED-WS2812B-2020",76.000000,-51.500000,0.000000,top
"D15","~","LED-WS2812B-2020",79.000000,-51.500000,0.000000,top
"D16","~","LED-WS2812B-2020",82.000000,-51.500000,0.000000,top
"D17","~","LED-WS2812B-2020",85.000000,-51.500000,0.000000,top
"D18","~","LED-WS2812B-2020",85.000000,-54.500000,180.000000,top
"D19","~","LED-WS2812B-2020",82.000000,-54.500000,180.000000,top
"D20","~","LED-WS2812B-2020",79.000000,-54.500000,180.000000,top
"D21","~","LED-WS2812B-2020",76.000000,-54.500000,180.000000,top
"D22","~","LED-WS2812B-2020",73.000000,-54.500000,180.000000,top
"D23","~","LED-WS2812B-2020",70.000000,-54.500000,180.000000,top
"D24","~","LED-WS2812B-2020",67.000000,-54.500000,180.000000,top
"D25","~","LED-WS2812B-2020",64.000000,-54.500000,180.000000,top
"D26","~","LED-WS2812B-2020",61.000000,-54.500000,180.000000,top
"D27","~","LED-WS2812B-2020",58.000000,-54.500000,180.000000,top
"D28","~","LED-WS2812B-2020",55.000000,-54.500000,180.000000,top
"D29","~","LED-WS2812B-2020",52.000000,-54.500000,180.000000,top
"D30","~","LED-WS2812B-2020",49.000000,-54.500000,180.000000,top
"D31","~","LED-WS2812B-2020",46.000000,-54.500000,180.000000,top
"D32","~","LED-WS2812B-2020",43.000000,-54.500000,180.000000,top
"D33","~","LED-WS2812B-2020",40.000000,-54.500000,180.000000,top
"D34","~","LED-WS2812B-2020",40.000000,-57.500000,0.000000,top
"D35","~","LED-WS2812B-2020",43.000000,-57.500000,0.000000,top
"D36","~","LED-WS2812B-2020",46.000000,-57.500000,0.000000,top
"D37","~","LED-WS2812B-2020",49.000000,-57.500000,0.000000,top
"D38","~","LED-WS2812B-2020",52.000000,-57.500000,0.000000,top
"D39","~","LED-WS2812B-2020",55.000000,-57.500000,0.000000,top
"D40","~","LED-WS2812B-2020",58.000000,-57.500000,0.000000,top
"D41","~","LED-WS2812B-2020",61.000000,-57.500000,0.000000,top
"D42","~","LED-WS2812B-2020",64.000000,-57.500000,0.000000,top
"D43","~","LED-WS2812B-2020",67.000000,-57.500000,0.000000,top
"D44","~","LED-WS2812B-2020",70.000000,-57.500000,0.000000,top
"D45","~","LED-WS2812B-2020",73.000000,-57.500000,0.000000,top
"D46","~","LED-WS2812B-2020",76.000000,-57.500000,0.000000,top
"D47","~","LED-WS2812B-2020",79.000000,-57.500000,0.000000,top
"D48","~","LED-WS2812B-2020",82.000000,-57.500000,0.000000,top
"D49","~","LED-WS2812B-2020",85.000000,-57.500000,0.000000,top
"D50","~","LED-WS2812B-2020",85.000000,-60.500000,180.000000,top
"D51","~","LED-WS2812B-2020",82.000000,-60.500000,180.000000,top
"D52","~","LED-WS2812B-2020",79.000000,-60.500000,180.000000,top
"D53","~","LED-WS2812B-2020",76.000000,-60.500000,180.000000,top
"D54","~","LED-WS2812B-2020",73.000000,-60.500000,180.000000,top
"D55","~","LED-WS2812B-2020",70.000000,-60.500000,180.000000,top
"D56","~","LED-WS2812B-2020",67.000000,-60.500000,180.000000,top
"D57","~","LED-WS2812B-2020",64.000000,-60.500000,180.000000,top
"D58","~","LED-WS2812B-2020",61.000000,-60.500000,180.000000,top
"D59","~","LED-WS2812B-2020",58.000000,-60.500000,180.000000,top
"D60","~","LED-WS2812B-2020",55.000000,-60.500000,180.000000,top
"D61","~","LED-WS2812B-2020",52.000000,-60.500000,180.000000,top
"D62","~","LED-WS2812B-2020",49.000000,-60.500000,180.000000,top
"D63","~","LED-WS2812B-2020",46.000000,-60.500000,180.000000,top
"D64","~","LED-WS2812B-2020",43.000000,-60.500000,180.000000,top
"D65","~","LED-WS2812B-2020",40.000000,-60.500000,180.000000,top
"D66","~","LED-WS2812B-2020",40.000000,-63.500000,0.000000,top
"D67","~","LED-WS2812B-2020",43.000000,-63.500000,0.000000,top
"D68","~","LED-WS2812B-2020",46.000000,-63.500000,0.000000,top
"D69","~","LED-WS2812B-2020",49.000000,-63.500000,0.000000,top
"D70","~","LED-WS2812B-2020",52.000000,-63.500000,0.000000,top
"D71","~","LED-WS2812B-2020",55.000000,-63.500000,0.000000,top
"D72","~","LED-WS2812B-2020",58.000000,-63.500000,0.000000,top
"D73","~","LED-WS2812B-2020",61.000000,-63.500000,0.000000,top
"D74","~","LED-WS2812B-2020",64.000000,-63.500000,0.000000,top
